name,color
Bernardo,"d3.hsl(185, 1, 0.2)"
Francisco,"d3.hsl(185, 1, 0.221428571429)"
Horatio,"d3.hsl(185, 1, 0.242857142857)"
Marcellus,"d3.hsl(185, 1, 0.264285714286)"
King claudius,"d3.hsl(185, 1, 0.285714285714)"
Cornelius,"d3.hsl(185, 1, 0.307142857143)"
Voltimand,"d3.hsl(185, 1, 0.328571428571)"
Laertes,"d3.hsl(185, 1, 0.35)"
Lord polonius,"d3.hsl(185, 1, 0.371428571429)"
Hamlet,"d3.hsl(185, 1, 0.392857142857)"
Queen gertrude,"d3.hsl(185, 1, 0.414285714286)"
All,"d3.hsl(185, 1, 0.435714285714)"
Ophelia,"d3.hsl(185, 1, 0.457142857143)"
Ghost,"d3.hsl(185, 1, 0.478571428571)"
Reynaldo,"d3.hsl(185, 1, 0.5)"
Rosencrantz,"d3.hsl(185, 1, 0.521428571429)"
Guildenstern,"d3.hsl(185, 1, 0.542857142857)"
First player,"d3.hsl(185, 1, 0.564285714286)"
Prologue,"d3.hsl(185, 1, 0.585714285714)"
Player king,"d3.hsl(185, 1, 0.607142857143)"
Player queen,"d3.hsl(185, 1, 0.628571428571)"
Lucianus,"d3.hsl(185, 1, 0.65)"
Prince fortinbras,"d3.hsl(185, 1, 0.671428571429)"
Captain,"d3.hsl(185, 1, 0.692857142857)"
Gentleman,"d3.hsl(185, 1, 0.714285714286)"
Danes,"d3.hsl(185, 1, 0.735714285714)"
Servant,"d3.hsl(185, 1, 0.757142857143)"
First sailor,"d3.hsl(185, 1, 0.778571428571)"
Messenger,"d3.hsl(185, 1, 0.8)"
First clown,"d3.hsl(185, 1, 0.821428571429)"
Second clown,"d3.hsl(185, 1, 0.842857142857)"
First priest,"d3.hsl(185, 1, 0.864285714286)"
Osric,"d3.hsl(185, 1, 0.885714285714)"
Lord,"d3.hsl(185, 1, 0.907142857143)"
First ambassador,"d3.hsl(185, 1, 0.928571428571)"
