name,color
Shallow,"d3.hsl(185, 1, 0.2)"
Slender,"d3.hsl(185, 1, 0.23125)"
Sir Hugh Evans,"d3.hsl(185, 1, 0.2625)"
Page,"d3.hsl(185, 1, 0.29375)"
Falstaff,"d3.hsl(185, 1, 0.325)"
Bardolph,"d3.hsl(185, 1, 0.35625)"
Pistol,"d3.hsl(185, 1, 0.3875)"
Nym,"d3.hsl(185, 1, 0.41875)"
Simple,"d3.hsl(185, 1, 0.45)"
Anne Page,"d3.hsl(185, 1, 0.48125)"
Host,"d3.hsl(185, 1, 0.5125)"
Mistress Quickly,"d3.hsl(185, 1, 0.54375)"
Rugby,"d3.hsl(185, 1, 0.575)"
Doctor Caius,"d3.hsl(185, 1, 0.60625)"
Fenton,"d3.hsl(185, 1, 0.6375)"
Mistress Page,"d3.hsl(185, 1, 0.66875)"
Mistress Ford,"d3.hsl(185, 1, 0.7)"
Ford,"d3.hsl(185, 1, 0.73125)"
Robin,"d3.hsl(185, 1, 0.7625)"
All,"d3.hsl(185, 1, 0.79375)"
Servant,"d3.hsl(185, 1, 0.825)"
William Page,"d3.hsl(185, 1, 0.85625)"
First Servant,"d3.hsl(185, 1, 0.8875)"
Second Servant,"d3.hsl(185, 1, 0.91875)"
